Time (s);Ax (m/s²);Ay (m/s²);Az (m/s²)
8.5697906977;-0.3747274263;9.3331589248;-1.2121773535
8.5797209302;-0.3411570119;9.3766857558;-1.1689217156
8.5896511628;-0.3507485588;9.3718494413;-1.0583795300
8.5995813953;-0.3171781444;9.3911946995;-0.9238064344
8.6095116279;-0.2979950505;9.5217751927;-0.7507838829
8.6194418605;-0.2836077300;9.6233377985;-0.5489242395
8.6293720930;-0.2740161831;9.6136651694;-0.3038089582
8.6393023256;-0.2692204096;9.5314478218;-0.0683060409
8.6492325581;-0.2500373156;9.5314478218;0.2008401502
8.6591627907;-0.2548330891;9.6185014840;0.4315368856
8.6690930233;-0.2356499952;9.6958825170;0.6333965289
8.6790232558;-0.2404457687;9.6668646296;0.7775819885
8.6889534884;-0.2308542217;9.6910462024;0.8688994462
8.6988837209;-0.2452415422;9.7974451228;0.9121550841
8.7088139535;-0.2404457687;9.9473708743;0.8688994462
8.7187441860;-0.2979950505;10.0440971655;0.7823881705
8.7286744186;-0.2740161831;10.0537697946;0.6526212569
8.7386046512;-0.2931992770;10.1166418840;0.4844048874
8.7485348837;-0.3075865975;10.2568950063;0.2681266980
8.7584651163;-0.3123823709;10.4068207577;0.0133990528
8.7683953488;-0.3219739179;10.4696928470;-0.1932667726
8.7783255814;-0.3219739179;10.5132196781;-0.4095449619
8.7882558140;-0.3075865975;10.5374012509;-0.6065984233
8.7981860465;-0.3075865975;10.5712554529;-0.7459777009
8.8081162791;-0.2931992770;10.5615828237;-0.8132642487
8.8180465116;-0.2500373156;10.4745291616;-0.8132642487
8.8279767442;-0.2164669012;10.4213297014;-0.7603962469
8.8379069767;-0.1876922603;10.4551839034;-0.6402416972
8.8478372093;-0.1301429785;10.4987107344;-0.4768315097
8.8577674419;-0.0821852437;10.5470738800;-0.2749718663
8.8676976744;-0.0246359618;10.5374012509;-0.0346627670
8.8776279070;0.0137302260;10.4890381053;0.2633205161
8.8875581395;0.0712795079;10.4696928470;0.5180481613
8.8974883721;0.1480118836;10.4068207577;0.7583572606
8.9074186047;0.1815822980;10.3294397247;0.9602169040
8.9173488372;0.2343358064;10.1843502878;1.1188209095
8.9272790698;0.2583146738;10.0731150529;1.2341692771
8.9372093023;0.3014766352;10.0199155927;1.2918434610
8.9471395349;0.3206597291;10.0102429636;1.2918434610
8.9570697674;0.3206597291;10.0247519073;1.2245569132
8.9670000000;0.3158639556;9.9763887616;1.0851776356
8.9769302326;0.3110681821;9.9860613908;0.9313798120
8.9868604651;0.2966808617;10.0731150529;0.7535510786
8.9967906977;0.2487231268;10.0924603111;0.5468852532
9.0067209302;0.2343358064;9.8554808976;0.3354132458
9.0166511628;0.1959696185;9.6910462024;0.0999103285
9.0265813953;0.1767865245;9.8361356393;-0.0875307689
9.0365116279;0.1480118836;9.8119540665;-0.2221038645
9.0464418605;0.1336245632;9.5991562257;-0.3038089582
9.0563720930;0.1144414692;9.5459567655;-0.3759016880
9.0663023256;0.1192372427;9.5798109675;-0.3759016880
9.0762325581;0.1240330162;9.6475193714;-0.3470645961
9.0861627907;0.1432161101;9.6378467422;-0.2893904123
9.0960930233;0.1719907511;9.5314478218;-0.1500111347
9.1060232558;0.1863780715;9.4589031034;-0.0106318571
9.1159534884;0.2439273533;9.4395578451;0.2056463322
9.1258837209;0.2966808617;9.4830846762;0.3882812477
9.1358139535;0.3590259170;9.4443941597;0.5757223451
9.1457441860;0.3925963314;9.3525041830;0.7054892587
9.1556744186;0.4741244806;9.2847957791;0.8785118102
9.1656046512;0.5268779890;9.3621768121;1.0323096337
9.1755348837;0.5748357238;9.4830846762;1.1140147275
9.1854651163;0.6227934587;9.5024299345;1.1572703654
9.1953953488;0.6371807791;9.4637394180;1.1861074573
9.2053255814;0.6419765526;9.5121025636;1.1140147275
9.2152558140;0.6659554200;9.6620283150;0.9890539959
9.2251860465;0.6323850056;9.7394093480;0.8881241742
9.2351162791;0.5988145912;9.7684272354;0.7391325326
9.2450465116;0.5556526299;9.8264630102;0.5757223451
9.2549767442;0.4837160276;9.9522071888;0.3546379738
9.2649069767;0.4213709723;10.0102429636;0.1239412385
9.2748372093;0.3302512761;10.0489334801;-0.0634998590
9.2847674419;0.2487231268;10.1118055694;-0.2557471384
9.2946976744;0.1719907511;10.2036955461;-0.3999325979
9.3046279070;0.1048499223;10.2617313208;-0.5008624196
9.3145581395;0.0329133200;10.2955855228;-0.5489242395
9.3244883721;-0.0390232823;10.3052581519;-0.5393118755
9.3344186047;-0.0773894702;10.3197670956;-0.5104747836
9.3443488372;-0.1205514315;10.3536212975;-0.4047387799
9.3542790698;-0.1253472050;10.4551839034;-0.2509409564
9.3642093023;-0.1397345255;10.4938744199;-0.1115616788
9.3741395349;-0.1253472050;10.5035470490;0.0902979646
9.3840697674;-0.0773894702;10.5325649364;0.3065761539
9.3940000000;-0.0342275088;10.5760917674;0.5036296153
9.4039302326;0.0041386791;10.5857643966;0.6814583488
9.4138604651;0.0568921874;10.5519101946;0.7775819885
9.4237906977;0.1192372427;10.5228923072;0.8448685363
9.4337209302;0.1576034306;10.5035470490;0.8881241742
9.4436511628;0.1815822980;10.5083833635;0.8400623543
9.4535813953;0.2007653920;10.4406749597;0.7968067165
9.4635116279;0.2103569389;10.4406749597;0.6766521668
9.4734418605;0.2151527124;10.4551839034;0.5228543433
9.4833720930;0.1863780715;10.4503475888;0.3498317918
9.4933023256;0.1432161101;10.4455112742;0.1383597844
9.5032325581;0.0616879609;10.4019844432;-0.1067554968
9.5131627907;-0.0150444149;10.3584576121;-0.2701656843
9.5230930233;-0.0965725641;10.2955855228;-0.3951264160
9.5330232558;-0.1972838073;10.2085318606;-0.5441180575
9.5429534884;-0.3123823709;10.1263145131;-0.6498540612
9.5528837209;-0.4178893876;10.0102429636;-0.6834973351
9.5628139535;-0.5090090838;9.8844987849;-0.6738849711
9.5727441860;-0.6001287801;9.7635909209;-0.6306293333
9.5826744186;-0.6720653823;9.5943199112;-0.5152809656
9.5926046512;-0.7104315702;9.5411204510;-0.3855140520
9.6025348837;-0.7487977581;9.6910462024;-0.2653595024
9.6124651163;-0.7775723990;9.6813735733;-0.1211740428
9.6223953488;-0.7631850786;9.4105399578;0.0758794186
9.6323255814;-0.7392062111;9.2122510607;0.2585143341
9.6422558140;-0.7056357967;9.2751231500;0.3978936117
9.6521860465;-0.6912484763;9.4879209908;0.5324667072
9.6621162791;-0.6241076475;9.4008673286;0.6382027109
9.6720465116;-0.4706428960;9.0574889947;0.7102954407
9.6819767442;-0.4706428960;9.0574889947;0.7102954407
9.6919069767;-0.3315654649;9.3670131267;0.6718459848
9.7018372093;-0.2836077300;9.3041410374;0.5661099811
9.7117674419;-0.2836077300;9.3041410374;0.5661099811
9.7216976744;-0.2020795808;9.2315963189;0.2873514260
9.7316279070;-0.2068753543;9.4347215306;0.1479721484
9.7415581395;-0.1972838073;9.5749746529;-0.0058256751
9.7514883721;-0.2356499952;9.4492304743;-0.1500111347
9.7614186047;-0.2356499952;9.4492304743;-0.1500111347
9.7713488372;-0.2692204096;9.3766857558;-0.2653595024
9.7812790698;-0.3939105202;9.6717009442;-0.4768315097
9.7912093023;-0.4562555755;9.6475193714;-0.4816376917
9.8011395349;-0.4562555755;9.6475193714;-0.4816376917
9.8110697674;-0.5138048573;9.5169388782;-0.4912500557
9.8210000000;-0.5761499126;9.5314478218;-0.4431882358
9.8309302326;-0.6432907414;9.6910462024;-0.3566769601
9.8408604651;-0.6912484763;9.7684272354;-0.2557471384
9.8507906977;-0.7200231172;9.7442456626;-0.0923369509
9.8607209302;-0.7296146642;9.7297367189;0.0662670546
9.8706511628;-0.7296146642;9.7926088082;0.2537081521
9.8805813953;-0.6960442498;9.8990077286;0.4411492495
9.8905116279;-0.6480865149;9.9473708743;0.6141718010
9.9004418605;-0.5569668187;9.9280256160;0.7054892587
9.9103720930;-0.4754386694;9.9086803577;0.8304499903
9.9203023256;-0.3603401058;10.0344245364;0.8929303562
9.9302325581;-0.2596288626;10.1408234568;0.9073489021
9.9401627907;-0.1493260725;10.1891866024;0.8977365381
9.9500930233;-0.0150444149;10.2182044898;0.7920005345
9.9600232558;0.0856668283;10.3246034102;0.6910707128
9.9699534884;0.1911738450;10.4696928470;0.5564976172
9.9798837209;0.2583146738;10.6051096548;0.3882812477
9.9898139535;0.3110681821;10.6438001713;0.2056463322
9.9997441860;0.3398428230;10.6486364859;0.0133990528
10.0096744186;0.3542301435;10.7018359461;-0.1596234987
10.0196046512;0.3494343700;10.7211812043;-0.2893904123
10.0295348837;0.3158639556;10.6679817441;-0.3903202340
10.0394651163;0.2727019942;10.6002733402;-0.4383820538
10.0493953488;0.2151527124;10.5277286218;-0.4576067818
10.0593255814;0.1432161101;10.5132196781;-0.4335758718
10.0692558140;0.0904626018;10.4745291616;-0.3278398682
10.0791860465;0.0185259995;10.4164933868;-0.2461347744
10.0891162791;-0.0102486414;10.3681302412;-0.0971431329
10.0990465116;-0.0390232823;10.3149307810;0.0566546907
10.1089767442;-0.0534106027;10.2617313208;0.2296772422
10.1189069767;-0.0486148293;10.1504960859;0.3978936117
10.1288372093;-0.0342275088;10.0344245364;0.5613037992
10.1387674419;-0.0054528679;9.9086803577;0.6622336209
10.1486976744;0.0329133200;9.8312993247;0.7199078047
10.1586279070;0.1240330162;9.7684272354;0.7679696245
10.1685581395;0.1911738450;9.7055551461;0.7775819885
10.1784883721;0.2870893147;9.6571920005;0.7247139867
10.1884186047;0.3878005579;9.7587546063;0.6766521668
10.1983488372;0.4885118011;9.8554808976;0.5661099811
10.2082790698;0.5748357238;9.8167903811;0.4219245216
10.2182093023;0.6084061382;9.6668646296;0.2729328800
10.2281395349;0.6419765526;9.6281741131;0.0854917826
10.2380697674;0.7187089284;9.8216266956;-0.0827245869
10.2480000000;0.7283004753;9.9183529869;-0.2365224104
10.2579302326;0.7235047018;9.7007188315;-0.3807078700
10.2678604651;0.6899342875;9.4443941597;-0.4768315097
10.2777906977;0.6659554200;9.4685757325;-0.5393118755
10.2877209302;0.6419765526;9.6958825170;-0.6162107873
10.2976511628;0.6084061382;9.7200640898;-0.6162107873
10.3075813953;0.5412653094;9.5749746529;-0.5873736954
10.3175116279;0.4693287071;9.4734120471;-0.5248933296
10.3274418605;0.4165751988;9.6281741131;-0.4287696899
10.3373720930;0.3734132374;9.7635909209;-0.3086151402
10.3473023256;0.2966808617;9.6620283150;-0.1692358626
10.3572325581;0.2487231268;9.4879209908;-0.0298565851
10.3671627907;0.2199484859;9.4975936199;0.1335536024
10.3770930233;0.1719907511;9.6668646296;0.2921576080
10.3870232558;0.1576034306;9.7200640898;0.4267307036
10.3969534884;0.1576034306;9.6571920005;0.5228543433
10.4068837209;0.1576034306;9.6426830568;0.6045594370
10.4168139535;0.1528076571;9.7780998645;0.6478150749
10.4267441860;0.1576034306;9.9376982451;0.6478150749
10.4366744186;0.1911738450;9.9908977053;0.6045594370
10.4466046512;0.1863780715;9.9908977053;0.4747925234
10.4565348837;0.2151527124;10.0440971655;0.3786688837
10.4664651163;0.2487231268;10.1698413441;0.2200648782
10.4763953488;0.2631104473;10.2907492082;0.0422361447
10.4863255814;0.2774977677;10.3729665558;-0.1163678608
10.4962558140;0.2870893147;10.3681302412;-0.2845842303
10.5061860465;0.3014766352;10.4261660160;-0.4047387799
10.5161162791;0.2870893147;10.5567465092;-0.5345056935
10.5260465116;0.2774977677;10.6244549131;-0.6210169693
10.5359767442;0.2391315798;10.5954370257;-0.6498540612
10.5459069767;0.2103569389;10.5567465092;-0.6594664252
10.5558372093;0.1528076571;10.5374012509;-0.6017922413
10.5657674419;0.1096456957;10.5712554529;-0.4912500557
10.5756976744;0.0473006404;10.5615828237;-0.3710955060
10.5856279070;-0.0246359618;10.4503475888;-0.2076853185
10.5955581395;-0.0725936967;10.4116570723;-0.0490813130
10.6054883721;-0.1349387520;10.4310023305;0.1816154223
10.6154186047;-0.1972838073;10.4068207577;0.3642503378
10.6253488372;-0.2452415422;10.3294397247;0.5613037992
10.6352790698;-0.2884035035;10.2375497480;0.6958768948
10.6452093023;-0.3267696914;10.2085318606;0.7968067165
10.6551395349;-0.3507485588;10.1601687150;0.8496747183
10.6650697674;-0.3459527853;10.1021329403;0.8929303562
10.6750000000;-0.3699316528;10.0247519073;0.8352561723
10.6849302326;-0.3747274263;10.0199155927;0.7679696245
10.6948604651;-0.3315654649;10.0150792781;0.6910707128
10.7047906977;-0.3459527853;10.0247519073;0.5420790712
10.7147209302;-0.3219739179;9.9570435034;0.4026997936
10.7246511628;-0.3171781444;9.9135166723;0.2344834241
10.7345813953;-0.2979950505;9.9280256160;0.0710732366
10.7445116279;-0.2884035035;9.9086803577;-0.0490813130
10.7544418605;-0.2740161831;9.8071177519;-0.1740420446
10.7643720930;-0.2836077300;9.7103914607;-0.2269100465
10.7743023256;-0.2740161831;9.7249004044;-0.2749718663
10.7842325581;-0.2979950505;9.7297367189;-0.3134213222
10.7941627907;-0.3075865975;9.5943199112;-0.2701656843
10.8040930233;-0.3363612384;9.4250489015;-0.2076853185
10.8140232558;-0.3555443323;9.3863583850;-0.1067554968
10.8239534884;-0.3843189732;9.4298852160;0.0326237808
10.8338837209;-0.4226851611;9.3960310141;0.1816154223
10.8438139535;-0.4274809346;9.2896320937;0.3642503378
10.8537441860;-0.4562555755;9.2364326335;0.5324667072
10.8636744186;-0.4562555755;9.2315963189;0.6814583488
10.8736046512;-0.4562555755;9.2267600044;0.8256438084
10.8835348837;-0.4706428960;9.1832331733;0.9361859940
10.8934651163;-0.4610513490;9.1203610840;1.0130849058
10.9033953488;-0.4802344429;9.1058521403;1.0803714536
10.9133255814;-0.4514598020;9.1783968588;1.1188209095
10.9232558140;-0.4514598020;9.2219236898;1.0755652716
10.9331860465;-0.4418682550;9.2315963189;1.0323096337
10.9431162791;-0.4130936141;9.2654505209;0.9265736301
10.9530465116;-0.4082978407;9.3621768121;0.8064190804
10.9629767442;-0.3891147467;9.4734120471;0.6718459848
10.9729069767;-0.3507485588;9.5411204510;0.5516914352
10.9828372093;-0.3123823709;9.5846472820;0.3834750657
10.9927674419;-0.2979950505;9.7152277752;0.2056463322
11.0026976744;-0.2548330891;9.8167903811;0.0566546907
11.0126279070;-0.2500373156;9.8699898412;-0.0827245869
11.0225581395;-0.2020795808;9.9038440432;-0.1740420446
11.0324883721;-0.1828964868;9.9618798179;-0.2317162285
11.0424186047;-0.1733049399;10.0682787383;-0.2509409564
11.0523488372;-0.1397345255;10.1311508276;-0.2269100465
11.0622790698;-0.1109598846;10.1553324005;-0.1692358626
11.0722093023;-0.0965725641;10.2278771189;-0.0683060409
11.0821395349;-0.0630021497;10.2907492082;0.0902979646
11.0920697674;-0.0534106027;10.3487849830;0.2248710602
11.1020000000;-0.0342275088;10.3778028703;0.3786688837
11.1119302326;-0.0150444149;10.3923118140;0.5228543433
11.1218604651;-0.0054528679;10.4116570723;0.6862645308
11.1317906977;0.0185259995;10.4164933868;0.7583572606
11.1417209302;0.0473006404;10.4164933868;0.8592870823
11.1516511628;0.0377090935;10.4213297014;0.8881241742
11.1615813953;0.0473006404;10.3874754995;0.8737056282
11.1715116279;0.0664837344;10.3923118140;0.8304499903
11.1814418605;0.0856668283;10.3874754995;0.7535510786
11.1913720930;0.0856668283;10.4068207577;0.6189779830
11.2013023256;0.0904626018;10.4261660160;0.4699863414
11.2112325581;0.1240330162;10.4455112742;0.2873514260
11.2211627907;0.1144414692;10.4503475888;0.1095226925
11.2310930233;0.1000541488;10.4648565325;-0.0971431329
11.2410232558;0.1240330162;10.4261660160;-0.2557471384
11.2509534884;0.1336245632;10.3971481286;-0.3951264160
11.2608837209;0.1144414692;10.3391123538;-0.5008624196
11.2708139535;0.1336245632;10.2423860626;-0.5873736954
11.2807441860;0.1384203367;10.2133681752;-0.6450478792
11.2906744186;0.1480118836;10.1795139733;-0.6258231513
11.3006046512;0.1576034306;10.1456597713;-0.5681489674
11.3105348837;0.1815822980;10.0972966257;-0.5008624196
11.3204651163;0.1959696185;10.0634424238;-0.4287696899
11.3303953488;0.2199484859;10.0054066490;-0.2941965943
11.3403255814;0.2391315798;9.9183529869;-0.1836544086
11.3502558140;0.2679062208;9.8409719539;-0.0538874950
11.3601860465;0.2679062208;9.8071177519;0.0806856006
11.3701162791;0.3110681821;9.8264630102;0.1960339683
11.3800465116;0.3158639556;9.7297367189;0.2921576080
11.3899767442;0.3206597291;9.4685757325;0.3642503378
