Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
3.5543557169;-0.1670005969;0.9438049863;-1.3657094374
3.5646581972;-0.4565711491;0.9462589740;-1.3473045294
3.5749606776;-0.6884729896;0.9536209372;-1.3374885785
3.5852631579;-0.8492091859;0.9622098943;-1.3399425662
3.5955656382;-0.9265097994;0.9744798329;-1.3436235478
3.6058681186;-0.9203748301;0.9806148022;-1.3411695601
3.6161705989;-0.8332582656;0.9916577470;-1.3362615846
3.6264730792;-0.6725220693;0.9977927164;-1.3215376583
3.6367755596;-0.4504361797;1.0100626550;-1.2871818300
3.6470780399;-0.1915404742;1.0125166427;-1.2295131184
3.6573805203;0.0869871331;1.0088356611;-1.1522125049
3.6676830006;0.3532448018;1.0014736980;-1.0700039159
3.6779854809;0.6060055380;0.9941117348;-0.9595744681
3.6882879613;0.8366803847;0.9855227777;-0.8307401123
3.6985904416;1.0072325319;0.9757068268;-0.6945437932
3.7088929220;1.1164349859;0.9683448636;-0.5436235478
3.7191954023;1.1507908141;0.9597559065;-0.3890223208
3.7294978826;1.1078460288;0.9499399556;-0.2319671061
3.7398003630;0.9839196485;0.9413509986;-0.0687769221
3.7501028433;0.7876006301;0.9376700170;0.0747813601
3.7604053237;0.5360668877;0.9315350476;0.2072966976
3.7707078040;0.2489503233;0.9217190967;0.3324500718
3.7810102843;-0.0639331123;0.9229460906;0.4428795196
3.7913127647;-0.3976754435;0.9180381151;0.5336770657
3.8016152450;-0.7289637871;0.9094491581;0.6048427098
3.8119177253;-1.0504361797;0.9020871949;0.6588304399
3.8222202057;-1.3412337258;0.8947252317;0.7079101945
3.8325226860;-1.5878594926;0.8836822869;0.7471739982
3.8428251664;-1.7645466092;0.8763203237;0.7766218509
3.8531276467;-1.8627061184;0.8652773789;0.7974807466
3.8634301270;-1.8798840325;0.8566884219;0.8207936301
3.8737326074;-1.8234423147;0.8468724710;0.8404255319
3.8840350877;-1.6896999834;0.8419644955;0.8600574338
3.8943375681;-1.4982889405;0.8382835139;0.8968672497
3.9046400484;-1.2602521307;0.8333755384;0.9434930166
3.9149425287;-0.9927674681;0.8272405691;0.9962537528
3.9252450091;-0.7289637871;0.8247865814;1.0551494583
3.9355474894;-0.4774300448;0.8247865814;1.1299960841
3.9458499698;-0.2577981429;0.8198786059;1.2134316669
3.9561524501;-0.0958349528;0.8247865814;1.3042292129
3.9664549304;-0.0001294313;0.8247865814;1.3937997650
3.9767574108;0.0060055380;0.8284675630;1.4796893356
3.9870598911;-0.0651601061;0.8260135753;1.5631249184
3.9973623714;-0.2222153209;0.8284675630;1.6257016055
4.0076648518;-0.4443012104;0.8247865814;1.6723273724
4.0179673321;-0.7142398607;0.8211055998;1.6993212374
4.0282698125;-1.0271232963;0.8100626550;1.7079101945
4.0385722928;-1.3559576521;0.7953387286;1.6882782927
4.0488747731;-1.6762030509;0.7793878084;1.6563764522
4.0591772535;-1.9620926215;0.7609829004;1.5974807466
4.0694797338;-2.1915404742;0.7388970108;1.5238611147
4.0797822142;-2.3449147074;0.7254000783;1.4367445503
4.0900846945;-2.4173073454;0.7057681765;1.3447200104
4.1003871748;-2.3964484497;0.6861362746;1.2539224644
4.1106896552;-2.2823380202;0.6726393421;1.1655789061
4.1209921355;-2.0847920080;0.6615963973;1.0944132620
4.1312946158;-1.8332582656;0.6505534526;1.0355175565
4.1415970962;-1.5412337258;0.6456454771;0.9888917896
4.1518995765;-1.2062644006;0.6419644955;0.9569899491
4.1622020569;-0.8663871000;0.6395105078;0.9361310534
4.1725045372;-0.5449147074;0.6419644955;0.9287690902
4.1828070175;-0.2516631736;0.6382835139;0.9287690902
4.1931094979;0.0010975626;0.6346025323;0.9287690902
4.2034119782;0.1937355994;0.6358295262;0.9373580473
4.2137144586;0.3225699552;0.6419644955;0.9422660227
4.2240169389;0.3814656607;0.6407375016;0.9349040595
4.2343194192;0.3630607528;0.6431914894;0.9238611147
4.2446218996;0.2857601393;0.6493264587;0.8993212374
4.2549243799;0.1556987896;0.6456454771;0.8637384154
4.2652268603;-0.0025834190;0.6530074403;0.8060697037
4.2755293406;-0.1878594926;0.6579154157;0.7361310534
4.2858318209;-0.3743625601;0.6615963973;0.6502414828
4.2961343013;-0.5620926215;0.6628233912;0.5496279859
4.3064367816;-0.7130128669;0.6652773789;0.4379715442
4.3167392619;-0.8295772840;0.6689583605;0.3201801331
4.3270417423;-0.8909269773;0.6701853544;0.2011617282
4.3373442226;-0.8982889405;0.6787743114;0.0772353479
4.3476467030;-0.8295772840;0.6824552930;-0.0381020754
4.3579491833;-0.6982889405;0.6849092808;-0.1583474742
4.3682516636;-0.4995159343;0.6922712440;-0.2663229343
4.3785541440;-0.2455282043;0.7020871949;-0.3583474742
4.3888566243;0.0477233295;0.7033141887;-0.4307401123
4.3991591047;0.3704227160;0.7069951703;-0.4908628116
4.4094615850;0.7066190350;0.7082221642;-0.5362615846
4.4197640653;1.0489503233;0.7119031458;-0.5632554497
4.4300665457;1.3777846791;0.7094491581;-0.5779793761
4.4403690260;1.6771711822;0.7069951703;-0.5792063699
4.4506715064;1.9237969491;0.7020871949;-0.5693904190
4.4609739867;2.1115270104;0.7020871949;-0.5534394988
4.4712764670;2.2317724092;0.6947252317;-0.5374885785
4.4815789474;2.2771711822;0.6885902624;-0.5190836705
4.4918814277;2.2415883601;0.6812282992;-0.5068137319
4.5021839080;2.1372938816;0.6763203237;-0.4969977810
4.5124863884;1.9814656607;0.6726393421;-0.4957707871
4.5227888687;1.7777846791;0.6689583605;-0.5129487012
4.5330913491;1.5446558448;0.6628233912;-0.5399425662
4.5433938294;1.3053920411;0.6628233912;-0.5779793761
4.5536963097;1.0759441884;0.6652773789;-0.6307401123
4.5639987901;0.8783981761;0.6640503851;-0.6982247748
4.5743012704;0.7274779307;0.6628233912;-0.7706174129
4.5846037508;0.6464963356;0.6615963973;-0.8368750816
4.5949062311;0.6342263969;0.6628233912;-0.9141756951
