Time (s);Pressure (kPa)
1.9859453953;102.0406677087;18.8317757009
1.9959250204;101.9513296848;18.4579439252
2.0059046455;101.8173320564;18.4579439252
2.0158842706;101.8173320564;18.4579439252
2.0258638957;101.7727177164;18.2710280374
2.0358435208;101.8173320564;18.4579439252
2.0458231459;101.7278940960;18.6448598131
2.0558027710;101.7278940960;18.6448598131
2.0657823961;101.6833344280;18.4579439252
2.0757620212;101.9065607363;18.8317757009
2.0857416463;101.7724537640;18.8317757009
2.0957212714;101.7724537640;18.8317757009
2.1057008965;101.9959986967;18.6448598131
2.1156805216;101.8619463963;18.6448598131
2.1256601467;101.7727177164;18.2710280374
2.1356397718;101.8173320564;18.4579439252
2.1456193969;101.8173320564;18.4579439252
2.1555990220;101.9065607363;18.8317757009
2.1655786471;101.8173320564;18.4579439252
2.1755582722;101.5493367995;18.4579439252
2.1855378973;101.9513296848;18.4579439252
2.1955175224;101.6387747600;18.2710280374
2.2054971475;101.6833344280;18.4579439252
2.2154767726;101.6833344280;18.4579439252
2.2254563977;101.7724537640;18.8317757009
2.2354360228;101.7278940960;18.6448598131
2.2454156479;101.8173320564;18.4579439252
2.2553952730;101.6833344280;18.4579439252
2.2653748981;101.7281033764;18.0841121495
2.2753545232;101.8173320564;18.4579439252
2.2853341483;101.6833344280;18.4579439252
2.2953137734;101.6833344280;18.4579439252
2.3052933985;101.9513296848;18.4579439252
2.3152730236;101.9513296848;18.4579439252
2.3252526487;101.6833344280;18.4579439252
2.3352322738;101.7278940960;18.6448598131
2.3452118989;101.7278940960;18.6448598131
2.3551915240;101.9959986967;18.6448598131
2.3651711491;101.8173320564;18.4579439252
2.3751507742;101.8619916609;18.0841121495
2.3851303993;101.8173320564;18.4579439252
2.3951100244;101.8173320564;18.4579439252
2.4050896496;101.8619463963;18.6448598131
2.4150692747;101.9066606729;18.2710280374
2.4250488998;101.6833344280;18.4579439252
2.4350285249;101.8173320564;18.4579439252
2.4450081500;101.9513296848;18.4579439252
2.4549877751;101.5493367995;18.4579439252
2.4649674002;101.7727177164;18.2710280374
2.4749470253;102.0853273132;18.4579439252
2.4849266504;101.5493367995;18.4579439252
2.4949062755;101.8173320564;18.4579439252
2.5048859006;101.6833344280;18.4579439252
2.5148655257;101.7278940960;18.6448598131
2.5248451508;101.7278940960;18.6448598131
2.5348247759;101.9513296848;18.4579439252
2.5448044010;101.8173320564;18.4579439252
2.5547840261;101.7278940960;18.6448598131
2.5647636512;102.0853273132;18.4579439252
2.5747432763;101.6833344280;18.4579439252
2.5847229014;102.0853273132;18.4579439252
2.5947025265;101.7278940960;18.6448598131
2.6046821516;101.6387747600;18.2710280374
2.6146617767;101.7724537640;18.8317757009
2.6246414018;101.6833344280;18.4579439252
2.6346210269;101.8173320564;18.4579439252
2.6446006520;101.8619463963;18.6448598131
2.6545802771;101.9065607363;18.8317757009
2.6645599022;102.0853273132;18.4579439252
2.6745395273;101.8619463963;18.6448598131
2.6845191524;101.5493367995;18.4579439252
2.6944987775;101.6387747600;18.2710280374
2.7044784026;101.7278940960;18.6448598131
2.7144580277;101.9959986967;18.6448598131
2.7244376528;101.8173320564;18.4579439252
2.7344172779;101.6833344280;18.4579439252
2.7443969030;101.7727177164;18.2710280374
2.7543765281;101.8619463963;18.6448598131
2.7643561532;101.6833344280;18.4579439252
2.7743357783;101.7281033764;18.0841121495
2.7843154034;101.7278940960;18.6448598131
2.7942950285;101.8173320564;18.4579439252
2.8042746536;101.6833344280;18.4579439252
2.8142542787;101.6833344280;18.4579439252
2.8242339038;101.8619463963;18.6448598131
2.8342135289;101.7278940960;18.6448598131
2.8441931540;101.6833344280;18.4579439252
2.8541727791;101.6387747600;18.2710280374
2.8641524042;101.6387747600;18.2710280374
2.8741320293;101.7278940960;18.6448598131
2.8841116544;101.8173320564;18.4579439252
2.8940912795;101.7281033764;18.0841121495
2.9040709046;101.6833344280;18.4579439252
2.9140505297;101.6833344280;18.4579439252
