Time (s);Bx (µT);By (µT);Bz (µT)
12.3910476879;-39.9538768406;-1931.4513717073;-1.4960054560
12.4033526012;-37.8293893914;-1931.9143492683;-0.9369929027
12.4156575145;-38.1834706329;-1932.3773268293;-2.1947711476
12.4279624277;-37.6523487706;-1930.9883941463;-0.9369929027
12.4402673410;-37.1212269083;-1934.2292370732;-1.9152648710
12.4525722543;-37.1212269083;-1932.9946302439;0.4605384805
12.4648771676;-36.5901050460;-1932.9946302439;0.1810322038
12.4771820809;-36.4130644252;-1934.0749112195;0.1810322038
12.4894869942;-35.8819425629;-1933.9205853659;0.4605384805
12.5017919075;-34.6426582175;-1933.6119336585;-1.4960054560
12.5140968208;-34.9967394591;-1934.5378887805;-3.0332899776
12.5264017341;-34.4656175968;-1935.6181697561;-0.3779803495
12.5387066474;-34.1115363552;-1935.3095180488;-2.1947711476
12.5510115607;-34.4656175968;-1935.7724956098;-1.4960054560
12.5633164740;-33.4033738721;-1934.8465404878;-0.5177334878
12.5756213873;-34.1115363552;-1935.6181697561;-0.9369929027
12.5879263006;-34.2885769760;-1935.9268214634;-4.5705744991
12.6002312139;-34.2885769760;-1934.3835629268;-0.9369929027
12.6125361272;-34.4656175968;-1935.3095180488;-3.5923025309
12.6248410405;-34.2885769760;-1936.2354731707;-2.4742774243
12.6371459538;-34.6426582175;-1936.6984507317;-2.7537837009
12.6494508671;-34.6426582175;-1936.5441248781;-3.5923025309
12.6617557803;-35.5278613214;-1935.4638439024;-2.1947711476
12.6740606936;-35.7049019421;-1935.4638439024;-3.7320556692
12.6863656069;-36.7671456668;-1934.8465404878;-3.4525493925
12.6986705202;-37.4753081498;-1934.2292370732;-2.8935368392
12.7109754335;-37.2982675291;-1934.0749112195;-3.4525493925
12.7232803468;-37.6523487706;-1933.9205853659;-5.2693401907
12.7355852601;-38.1834706329;-1932.5316526829;-1.4960054560
12.7478901734;-39.0686737368;-1932.3773268293;-5.9681058823
12.7601950867;-39.0686737368;-1930.6797424390;-7.5053904038
12.7725000000;-40.1309174614;-1930.9883941463;-5.8283527440
12.7848049133;-41.1931611860;-1931.9143492683;-5.6885996057
12.7971098266;-42.2554049107;-1931.6056975610;-4.2910682225
12.8094147399;-42.0783642899;-1930.5254165854;-8.0644029571
12.8217196532;-42.9635673937;-1930.2167648781;-6.1078590206
12.8340245665;-42.7865267730;-1930.3710907317;-7.3656372655
12.8463294798;-42.9635673937;-1929.2908097561;-7.9246498188
12.8586343931;-43.4946892560;-1927.5932253659;-8.2041560954
12.8709393064;-44.7339736014;-1927.5932253659;-5.1295870524
12.8832442197;-45.7962173261;-1926.9759219512;-5.6885996057
12.8955491329;-45.9732579468;-1925.5869892683;-6.2476121590
12.9078540462;-47.0355016715;-1926.3586185366;-7.2258841272
12.9201589595;-47.2125422922;-1924.5067082927;-6.9463778506
12.9324638728;-48.4518266376;-1926.2042926829;-7.0861309889
12.9447687861;-48.6288672584;-1924.5067082927;-4.8500807757
12.9570736994;-48.9829484999;-1922.3461463415;-4.9898339141
12.9693786127;-48.6288672584;-1922.3461463415;-8.4836623721
12.9816835260;-49.6911109830;-1921.8831687805;-6.3873652973
12.9939884393;-49.6911109830;-1922.5004721951;-4.0115619458
13.0062933526;-49.8681516038;-1922.6547980488;-4.8500807757
13.0185982659;-49.8681516038;-1922.5004721951;-6.6668715739
13.0309031792;-50.0451922245;-1920.3399102439;-6.6668715739
13.0432080925;-50.5763140869;-1920.1855843902;-4.5705744991
13.0555130058;-51.4615171907;-1920.4942360976;-4.5705744991
13.0678179191;-50.7533547076;-1919.7226068293;-4.0115619458
13.0801228324;-50.7533547076;-1918.3336741463;-4.8500807757
13.0924277457;-50.7533547076;-1919.4139551220;-4.2910682225
13.1047326590;-50.5763140869;-1918.1793482927;-2.8935368392
13.1170375723;-50.3992734661;-1919.5682809756;-2.4742774243
13.1293424855;-50.3992734661;-1918.4880000000;0.1810322038
13.1416473988;-50.0451922245;-1918.9509775610;-1.9152648710
13.1539523121;-50.0451922245;-1918.7966517073;0.8797978954
13.1662572254;-49.8681516038;-1918.1793482927;-0.2382272111
13.1785621387;-50.2222328453;-1919.4139551220;0.4605384805
13.1908670520;-49.1599891207;-1918.1793482927;-1.7755117327
13.2031719653;-48.9829484999;-1918.7966517073;1.4388104487
13.2154768786;-49.3370297415;-1918.6423258537;-0.0984740728
13.2277817919;-47.9207047753;-1918.6423258537;2.2773292786
13.2400867052;-47.9207047753;-1921.1115395122;2.8363418319
13.2523916185;-47.9207047753;-1920.6485619512;1.0195510337
13.2646965318;-46.5043798091;-1920.8028878049;3.3953543852
13.2770014451;-46.3273391884;-1921.5745170732;1.4388104487
13.2893063584;-46.1502985676;-1922.6547980488;5.0723920451
13.3016112717;-45.0880548430;-1923.8894048781;3.1158481086
13.3139161850;-44.7339736014;-1922.9634497561;2.9760949702
13.3262210983;-44.0258111184;-1922.9634497561;4.3736263535
13.3385260116;-43.3176486353;-1924.0437307317;2.9760949702
13.3508309249;-42.9635673937;-1923.4264273171;4.5133794918
13.3631358382;-41.1931611860;-1924.5067082927;5.6314045983
13.3754407514;-40.6620393237;-1923.8894048781;7.7277016732
13.3877456647;-40.1309174614;-1924.9696858537;8.2867142264
13.4000505780;-39.0686737368;-1925.4326634146;8.0072079498
13.4123554913;-37.6523487706;-1926.9759219512;7.4481953965
13.4246604046;-36.7671456668;-1927.7475512195;6.0506640133
13.4369653179;-35.5278613214;-1928.9821580488;7.8674548115
13.4492702312;-34.8196988383;-1929.9081131707;8.1469610881
13.4615751445;-33.0492926306;-1929.5994614634;6.8891828432
13.4738800578;-33.4033738721;-1929.7537873171;7.3084422582
13.4861849711;-32.1640895267;-1931.1427200000;8.4264673648
13.4984898844;-30.9248051813;-1932.5316526829;6.8891828432
13.5107947977;-30.2166426983;-1932.5316526829;9.1252330564
13.5230997110;-29.5084802152;-1932.3773268293;8.0072079498
13.5354046243;-27.9151146282;-1934.2292370732;8.9854799180
13.5477095376;-27.7380740075;-1932.6859785366;8.2867142264
13.5600144509;-26.4987896621;-1935.0008663415;7.1686891199
